PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,CabinNo,MinDistanceToLifeboat,AgeGroup,Survived,Embarked
354,1,female,2,0,1,456.8,90,588,child,1,C
458,2,male,61,4,0,453.93,91,187,old,0,S
521,1,female,35,0,1,454.56,92,857,adult,0,S
524,3,male,41,0,2,452.51,93,269,adult,1,S
383,1,male,43,2,0,454.23,94,606,adult,0,Q
164,2,male,42,3,0,453.1,95,309,adult,1,C
754,1,female,12,0,1,454.04,96,131,child,1,S
733,2,female,33,3,0,452.54,97,550,adult,1,Q
139,3,male,24,1,0,451.47,98,71,adult,1,S
248,3,female,39,2,0,451.39,99,792,adult,1,Q
479,1,female,54,0,2,452.56,100,844,old,0,S
106,3,male,44,0,0,450.38,101,671,adult,1,C
270,1,female,52,3,0,450.7,102,186,old,0,C
404,3,female,76,2,0,448.55,103,485,old,0,S
442,3,female,14,0,2,448.0,104,190,child,1,Q
529,2,female,39,3,1,448.78,105,421,adult,1,S
495,2,male,73,2,0,447.41,106,119,old,0,Q
691,3,male,10,3,0,445.87,107,219,child,1,S
398,3,male,59,1,2,444.24,108,52,old,0,Q
605,1,male,50,1,1,445.98,109,733,adult,0,C
471,3,male,13,2,0,443.12,110,450,child,1,S
31,2,female,54,1,0,443.62,111,411,old,0,C
706,2,male,24,4,0,443.46,112,642,adult,1,C
604,3,male,32,4,0,442.38,113,236,adult,0,S
400,3,female,1,0,0,441.53,114,757,child,1,S
357,1,female,37,1,1,442.29,115,737,adult,1,Q
518,3,female,65,3,0,440.26,116,719,old,0,Q
699,1,male,25,3,0,442.15,117,405,adult,1,C
642,1,female,75,3,0,440.67,118,607,old,0,Q
69,2,female,61,4,2,439.2,119,421,old,0,Q
594,3,male,72,1,0,437.87,120,711,old,0,S
61,2,female,48,0,1,438.7,121,246,adult,1,Q
258,1,female,26,0,2,436.91,122,71,adult,0,C
210,1,female,66,2,0,436.81,123,829,old,1,Q
548,2,male,16,1,0,435.52,124,184,child,1,C
125,3,male,12,2,1,434.47,125,5,child,1,S
667,1,female,30,4,0,436.15,126,205,adult,1,C
104,1,male,23,2,2,435.19,127,543,adult,0,Q
233,3,male,68,3,0,433.17,128,610,old,0,S
569,3,female,75,4,1,432.69,129,905,old,0,Q
109,1,female,42,2,0,431.42,130,386,adult,1,S
121,1,female,54,0,0,431.35,131,767,old,1,S
71,3,male,7,0,2,429.2,132,698,child,1,Q
735,3,female,67,0,2,428.38,133,75,old,0,Q
406,3,male,20,0,0,428.31,134,176,child,1,S
704,1,female,27,4,0,427.9,135,826,adult,1,S
53,2,male,34,2,0,426.16,136,798,adult,1,Q
568,1,male,9,1,1,427.16,137,348,child,1,C
454,2,male,75,3,0,425.9,138,254,old,0,Q
142,3,female,48,0,2,424.82,139,836,adult,1,S
655,3,male,61,0,0,424.78,140,701,old,0,Q
432,3,male,32,1,1,424.69,141,307,adult,1,C
443,2,male,43,3,0,425.52,142,344,adult,1,Q
147,3,male,67,4,2,423.83,143,126,old,0,S
640,3,female,7,3,2,423.6,144,936,child,1,Q
789,1,male,18,0,2,424.76,145,286,child,1,S
621,1,female,22,1,2,424.4,146,765,adult,1,S
625,1,female,49,3,0,423.32,147,724,adult,1,Q
628,2,male,7,4,2,422.25,148,761,child,1,S
128,1,female,31,3,0,423.01,149,595,adult,1,S
368,3,male,79,1,0,420.59,150,486,old,0,C
358,3,male,14,4,0,420.03,151,382,child,1,C
535,1,male,43,3,2,421.72,152,405,adult,1,C
253,3,male,12,1,1,419.6,153,387,child,1,C
174,2,female,70,2,0,420.42,154,524,old,0,S
652,1,female,52,1,2,417.74,155,556,old,0,Q
716,2,female,69,2,1,416.5,156,638,old,0,S
445,2,female,74,2,0,416.02,157,937,old,0,S
356,3,female,57,0,2,414.95,158,625,old,0,S
249,2,male,58,0,2,415.75,159,944,old,0,Q
80,2,male,25,3,2,415.49,160,275,adult,0,C
77,2,female,11,3,1,415.39,161,499,child,1,S
6,1,male,52,0,2,416.29,162,716,old,0,S
434,2,male,29,4,1,414.27,163,336,adult,1,C
75,2,male,71,0,0,413.71,164,949,old,0,S
207,2,male,66,3,1,413.09,165,931,old,0,Q
658,3,female,69,4,2,411.99,166,480,old,0,S
753,3,female,38,3,0,411.35,167,896,adult,1,S
396,2,male,37,2,1,411.17,168,910,adult,0,C
231,3,male,76,4,2,410.08,169,972,old,0,S
457,2,male,49,2,1,408.53,170,272,adult,0,S
473,3,male,11,2,0,405.98,171,919,child,1,Q
771,2,female,12,0,0,405.96,172,57,child,1,C
387,3,male,2,4,0,404.63,173,327,child,1,C
402,2,male,10,4,2,404.94,174,730,child,1,Q
281,3,male,45,4,2,403.67,175,108,adult,0,S
413,2,female,32,1,1,403.79,176,278,adult,0,C
631,1,female,46,3,0,404.6,177,685,adult,0,C
428,1,male,73,3,1,404.51,178,327,old,0,S
72,2,female,20,1,1,403.45,179,775,child,1,S
446,1,male,60,4,0,404.42,180,314,old,0,C
229,3,male,59,4,2,402.31,181,473,old,0,S
410,2,male,31,3,0,403.23,182,110,adult,0,C
643,2,male,71,0,0,403.12,183,698,old,0,S
285,1,female,63,4,1,403.87,184,780,old,0,S
66,2,female,54,1,1,401.89,185,934,old,0,Q
284,2,male,59,4,2,401.72,186,228,old,0,S
199,2,female,2,3,0,401.58,187,496,child,1,Q
627,3,female,0,2,1,399.59,188,155,child,1,S
796,1,male,73,1,1,399.6,189,472,old,1,C
516,1,male,50,3,1,399.44,190,700,adult,0,C
593,2,female,1,3,2,398.33,191,271,child,1,S
762,1,female,55,4,2,399.15,192,886,old,1,S
632,2,female,33,1,2,398.01,193,1,adult,1,C
145,1,male,13,3,2,398.13,194,757,child,1,S
62,1,male,60,2,0,397.72,195,721,old,0,Q
514,1,male,49,1,0,397.67,196,510,adult,1,Q
336,1,male,74,0,1,397.32,197,912,old,0,Q
393,1,male,70,2,0,396.54,198,285,old,0,Q
127,3,male,17,2,0,392.68,199,870,child,1,Q
512,2,male,59,0,2,393.54,200,12,old,0,S
182,3,female,73,2,1,392.36,201,607,old,0,S
68,2,male,11,4,2,392.92,202,497,child,1,Q
219,1,male,10,1,1,393.49,203,732,child,1,S
20,2,male,35,1,1,391.66,204,237,adult,1,S
171,2,female,61,2,1,390.64,205,93,old,0,Q
26,1,female,10,2,1,391.54,206,337,child,1,S
581,1,male,46,0,2,390.35,207,780,adult,0,S
596,1,female,19,0,0,390.24,208,170,child,1,S
494,3,male,27,4,0,388.01,209,980,adult,1,Q
187,3,female,4,0,2,387.99,210,605,child,1,S
527,3,male,2,3,1,387.39,211,660,child,1,C
110,2,female,39,3,0,386.96,212,623,adult,1,C
498,1,male,53,0,0,387.88,213,566,old,0,Q
618,3,male,22,0,2,385.17,214,848,adult,1,C
651,3,female,13,3,2,385.05,215,935,child,1,Q
633,3,female,64,0,0,384.97,216,466,old,1,C
430,3,male,31,1,2,384.43,217,627,adult,1,C
715,2,female,47,0,1,384.95,218,142,adult,1,C
490,1,female,36,4,0,385.75,219,200,adult,1,Q
607,2,male,11,1,0,383.92,220,179,child,1,Q
440,3,male,37,4,0,382.29,221,713,adult,1,S
470,3,female,59,0,1,381.33,222,363,old,0,Q
547,1,female,69,3,0,382.57,223,478,old,0,C
352,1,male,56,2,2,382.44,224,564,old,0,C
348,2,female,79,3,0,380.71,225,470,old,0,Q
738,1,male,28,1,1,381.29,226,383,adult,1,Q
305,1,female,9,1,2,381.09,227,691,child,1,Q
282,3,male,26,3,2,377.72,228,925,adult,1,S
647,1,female,0,2,0,379.1,229,416,child,1,C
478,2,female,18,0,2,377.18,230,824,child,1,S
559,3,female,22,3,1,375.57,231,307,adult,1,S
686,1,female,59,4,0,377.48,232,648,old,0,C
54,1,female,2,3,0,377.03,233,693,child,1,C
168,1,male,62,4,0,376.83,234,366,old,0,Q
525,1,female,57,3,1,376.62,235,0,old,0,Q
9,3,female,44,3,2,373.42,236,43,adult,1,S
144,2,female,44,0,2,374.32,237,738,adult,1,Q
466,3,male,21,0,2,371.88,238,842,adult,0,Q
346,1,male,20,3,0,373.8,239,97,child,1,C
431,3,male,1,2,0,371.19,240,719,child,1,C
606,1,female,77,0,0,373.1,241,264,old,0,Q
159,1,female,67,0,0,372.49,242,799,old,0,C
117,1,male,32,4,0,370.48,243,782,adult,1,Q
599,3,female,0,1,1,367.26,244,139,child,1,C
523,2,male,38,3,0,368.2,245,480,adult,1,C
245,1,female,5,3,2,368.08,246,236,child,1,C
584,1,male,48,4,1,367.49,247,973,adult,1,C
422,1,female,31,2,2,367.35,248,952,adult,1,Q
561,3,female,30,1,0,364.16,249,903,adult,1,S
653,2,female,47,3,0,364.26,250,71,adult,1,C
200,1,male,31,3,1,365.09,251,666,adult,1,Q
237,2,female,61,3,2,363.93,252,189,old,0,Q
675,1,male,74,4,0,363.92,253,267,old,0,C
320,2,female,32,0,0,362.72,254,320,adult,1,S
365,3,female,11,3,2,361.24,255,106,child,1,C
741,2,female,7,0,1,362.14,256,231,child,1,Q
56,3,male,50,1,0,359.95,257,41,adult,0,S
315,3,male,51,2,0,358.68,258,701,old,0,Q
526,1,male,11,3,1,359.43,259,882,child,1,C
505,1,female,57,2,1,359.1,260,138,old,0,S
12,3,female,61,0,1,355.76,261,614,old,0,Q
308,3,male,49,1,2,355.64,262,682,adult,1,Q
758,2,male,55,2,2,356.37,263,862,old,1,Q
747,1,female,48,0,0,356.1,264,272,adult,1,C
13,1,male,45,4,0,355.8,265,480,adult,1,S
751,3,female,6,1,1,352.45,266,415,child,1,C
729,1,female,67,1,1,353.58,267,505,old,0,C
724,1,male,24,3,0,353.43,268,732,adult,1,C
114,3,female,3,2,0,350.48,269,724,child,1,S
513,3,female,23,4,1,350.15,270,852,adult,1,C
250,3,male,58,4,0,349.27,271,423,old,0,C
496,2,female,34,0,0,350.19,272,406,adult,1,C
687,3,female,32,4,2,348.75,273,567,adult,1,C
580,2,male,36,4,1,349.43,274,389,adult,0,Q
659,3,female,62,0,0,347.8,275,341,old,0,C
276,1,female,76,0,2,349.46,276,945,old,0,Q
34,2,female,68,4,1,347.85,277,613,old,0,C
324,3,male,50,1,1,346.69,278,932,adult,1,S
767,3,female,0,3,1,345.3,279,492,child,1,Q
519,1,female,78,1,2,347.29,280,191,old,0,Q
364,2,female,23,0,2,345.99,281,498,adult,1,Q
220,1,male,58,1,2,346.19,282,821,old,0,Q
350,3,male,5,0,2,343.13,283,711,child,1,S
649,2,female,30,2,0,344.02,284,232,adult,1,C
216,2,female,39,2,0,343.2,285,944,adult,1,Q
586,1,female,55,1,1,341.86,286,226,old,1,S
39,1,female,61,0,0,340.16,287,370,old,0,Q
367,2,male,14,4,2,337.57,288,138,child,1,C
624,1,male,79,4,2,337.93,289,855,old,0,Q
540,2,male,68,0,2,334.43,290,816,old,0,S
711,2,male,78,1,1,332.65,291,148,old,0,C
319,2,male,10,0,1,331.33,292,114,child,1,S
731,3,male,12,4,2,330.01,293,449,child,1,C
5,1,female,11,4,0,331.92,294,62,child,1,C
736,1,male,51,2,1,331.8,295,103,old,0,C
617,3,male,49,2,1,328.87,296,850,adult,0,Q
169,1,male,45,3,0,330.82,297,870,adult,0,S
136,3,male,55,1,0,328.5,298,667,old,0,S
405,2,male,71,1,0,329.47,299,272,old,0,S
685,1,female,18,4,1,329.65,300,5,child,1,C
41,1,male,25,0,0,328.75,301,146,adult,1,Q
571,3,male,4,1,1,326.45,302,183,child,1,C
93,1,female,6,3,2,328.2,303,997,child,1,S
481,1,female,7,3,1,327.79,304,27,child,1,Q
447,2,male,66,1,0,326.57,305,961,old,0,Q
196,2,male,49,3,1,326.54,306,549,adult,1,Q
695,1,male,65,4,0,327.0,307,118,old,0,S
306,2,male,64,4,1,325.8,308,292,old,0,Q
709,1,male,47,0,0,326.28,309,370,adult,0,Q
786,1,male,67,2,1,325.74,310,243,old,0,C
192,2,female,8,2,2,324.66,311,579,child,1,C
641,1,male,46,2,0,325.47,312,725,adult,1,Q
340,2,female,77,2,0,324.18,313,217,old,0,Q
251,3,male,47,3,0,322.94,314,176,adult,0,C
260,1,female,59,0,2,324.44,315,298,old,0,C
337,1,male,31,1,0,323.03,316,675,adult,0,C
760,3,male,60,1,2,319.89,317,57,old,0,S
24,2,male,10,0,0,320.86,318,268,child,1,S
694,3,female,73,2,0,319.66,319,307,old,1,C
99,1,male,17,4,0,321.43,320,569,child,1,Q
347,1,male,46,4,1,319.01,321,287,adult,0,C
745,1,female,17,2,1,318.54,322,976,child,1,S
232,1,male,27,4,1,318.33,323,104,adult,0,Q
517,3,male,35,1,0,316.02,324,227,adult,1,S
332,1,female,38,3,0,316.49,325,246,adult,1,Q
172,2,male,76,1,2,315.16,326,699,old,0,S
591,3,male,19,4,2,313.03,327,493,child,1,Q
560,1,male,46,4,2,314.55,328,82,adult,1,Q
759,3,female,41,3,2,311.83,329,185,adult,1,Q
271,1,female,29,4,2,313.08,330,251,adult,0,Q
303,1,male,21,2,0,313.07,331,354,adult,0,S
286,3,female,34,0,2,310.85,332,749,adult,1,S
70,1,female,79,4,0,311.85,333,871,old,0,Q
414,2,female,40,3,1,309.71,334,695,adult,1,Q
603,1,male,68,4,1,310.18,335,795,old,0,S
748,2,female,76,3,0,308.67,336,896,old,0,Q
380,3,female,70,4,0,307.67,337,937,old,1,Q
379,1,male,49,4,1,308.83,338,209,adult,0,Q
740,2,male,34,0,2,307.31,339,815,adult,0,C
134,2,female,56,1,1,307.17,340,807,old,0,Q
310,1,female,63,0,1,307.95,341,608,old,0,C
156,3,female,72,4,0,305.46,342,446,old,0,Q
416,1,female,10,0,2,305.36,343,459,child,1,S
609,3,male,52,1,2,302.55,344,967,old,0,C
601,1,male,69,0,0,304.49,345,471,old,0,C
325,3,male,74,4,0,301.99,346,719,old,0,Q
734,2,female,77,1,1,302.47,347,369,old,0,Q
299,2,female,67,3,1,301.3,348,899,old,0,C
482,2,male,52,2,1,301.28,349,933,old,0,S
720,3,male,22,0,2,300.06,350,491,adult,1,S
575,2,male,75,2,1,300.71,351,922,old,0,Q
689,2,female,34,1,2,299.61,352,136,adult,1,S
102,3,male,13,4,1,297.09,353,366,child,1,S
502,2,female,75,4,2,297.88,354,911,old,0,Q
491,2,female,55,1,0,296.11,355,183,old,0,S
662,1,female,40,3,1,295.73,356,587,adult,1,Q
690,1,female,43,3,1,294.89,357,286,adult,1,C
322,3,female,78,1,0,291.94,358,471,old,0,Q
118,3,female,15,3,1,291.77,359,374,child,1,C
30,3,male,53,1,1,290.54,360,653,old,0,C
198,3,male,16,4,0,290.14,361,748,child,1,S
608,2,female,19,1,0,289.05,362,536,child,1,S
235,1,female,39,2,1,289.58,363,510,adult,0,S
297,2,female,67,3,1,287.82,364,801,old,0,Q
714,2,male,42,3,0,287.41,365,578,adult,1,S
770,3,female,46,0,0,285.99,366,249,adult,1,C
318,2,female,28,3,1,286.75,367,919,adult,1,S
74,2,female,69,3,1,286.05,368,509,old,0,S
438,1,female,21,3,2,286.75,369,629,adult,1,Q
615,3,female,55,1,2,284.71,370,72,old,0,Q
222,3,female,37,0,1,284.7,371,281,adult,1,C
154,3,female,52,4,2,283.38,372,915,old,1,Q
307,1,male,21,4,1,284.85,373,959,adult,0,S
363,2,female,24,2,2,283.47,374,359,adult,1,Q
501,2,female,6,2,2,283.37,375,9,child,1,C
577,1,female,56,4,0,284.05,376,210,old,0,S
295,1,male,36,4,0,283.93,377,834,adult,1,C
27,1,female,35,3,1,283.46,378,151,adult,1,Q
130,2,male,45,4,1,282.27,379,4,adult,0,Q
343,3,female,26,0,0,281.0,380,194,adult,1,C
549,1,male,27,1,0,282.81,381,953,adult,1,S
239,3,male,66,4,0,280.36,382,282,old,0,Q
183,2,male,56,1,0,281.24,383,463,old,0,Q
475,2,male,12,0,1,280.68,384,112,child,1,S
10,3,male,16,2,2,279.39,385,270,child,1,Q
595,1,male,36,2,1,280.82,386,162,adult,1,C
408,2,female,63,0,1,277.48,387,459,old,0,Q
238,2,female,57,2,2,277.11,388,104,old,0,Q
533,3,male,7,3,2,275.74,389,692,child,1,S
472,2,male,74,3,1,275.9,390,555,old,0,C
779,3,male,41,2,1,274.88,391,281,adult,0,S
616,1,female,42,2,1,276.58,392,686,adult,1,Q
620,3,male,37,3,0,274.3,393,161,adult,0,Q
155,1,female,78,1,1,275.96,394,982,old,0,S
37,3,female,35,2,2,273.54,395,350,adult,1,S
326,2,male,57,3,2,272.8,396,433,old,0,S
2,1,female,30,3,2,273.56,397,851,adult,1,C
456,3,female,71,0,2,270.7,398,139,old,0,Q
301,3,male,16,2,2,269.74,399,470,child,1,S
578,2,male,63,3,2,270.43,400,131,old,0,Q
45,1,female,39,3,1,271.17,401,86,adult,1,C
190,3,male,46,0,0,268.68,402,687,adult,1,C
148,3,female,17,3,0,267.7,403,182,child,1,C
79,3,male,58,4,0,267.21,404,367,old,1,C
427,2,female,32,4,2,268.09,405,128,adult,1,Q
646,3,male,32,2,2,266.96,406,245,adult,0,C
304,1,male,16,2,1,268.27,407,600,child,1,C
359,2,female,33,4,0,266.22,408,577,adult,1,S
534,3,male,41,1,1,265.12,409,669,adult,1,C
389,1,female,45,1,1,266.66,410,898,adult,1,S
552,1,male,4,4,0,266.54,411,377,child,1,C
91,1,female,13,4,0,266.21,412,148,child,1,C
510,1,male,3,4,2,265.99,413,984,child,1,S
678,1,male,70,4,1,265.67,414,851,old,0,C
702,3,female,65,1,1,261.81,415,432,old,0,Q
225,1,female,47,1,1,263.16,416,627,adult,1,Q
236,2,male,44,0,0,260.34,417,725,adult,0,C
42,3,male,65,3,1,258.9,418,468,old,0,Q
412,2,male,44,1,2,259.83,419,445,adult,0,S
351,3,male,18,4,2,258.8,420,480,child,1,C
749,1,female,3,4,0,260.59,421,883,child,1,C
254,1,male,44,4,1,260.56,422,293,adult,0,S
407,1,male,17,4,1,259.5,423,764,child,1,S
15,2,female,1,0,0,258.43,424,142,child,1,S
385,3,female,23,3,0,256.51,425,249,adult,1,C
506,1,male,60,1,1,257.62,426,877,old,0,S
90,1,female,6,0,2,257.1,427,947,child,1,S
698,1,female,2,0,0,256.83,428,974,child,1,Q
468,2,female,2,1,1,254.42,429,301,child,1,Q
32,3,female,23,4,0,250.36,430,24,adult,1,C
224,2,female,4,4,0,250.95,431,788,child,1,Q
537,1,male,77,3,2,251.88,432,983,old,0,Q
545,3,male,13,3,0,249.31,433,888,child,1,S
242,1,female,39,1,1,250.83,434,889,adult,1,S
193,1,female,19,3,2,250.63,435,900,child,1,Q
92,1,female,78,3,0,250.47,436,69,old,1,Q
774,3,male,8,4,1,247.14,437,624,child,1,Q
418,2,male,40,4,1,244.4,438,874,adult,1,C
696,2,female,45,0,2,244.28,439,111,adult,0,C
661,3,male,32,1,2,242.53,440,363,adult,1,C
528,2,female,17,0,1,242.14,441,302,child,1,Q
622,2,female,44,3,0,241.16,442,470,adult,1,Q
636,1,female,73,2,2,241.6,443,963,old,0,C
149,1,male,61,2,2,241.25,444,90,old,0,C
700,2,male,71,0,0,240.18,445,529,old,0,Q
29,3,male,38,3,2,238.88,446,660,adult,0,S
460,1,female,6,1,2,240.52,447,987,child,1,C
629,1,male,28,0,1,240.36,448,738,adult,0,Q
47,2,female,0,3,0,239.06,449,725,child,1,Q
65,2,female,56,3,2,238.7,450,871,old,0,S
140,1,male,4,0,0,239.59,451,662,child,1,Q
316,2,female,75,0,2,238.59,452,191,old,0,Q
464,1,male,5,4,1,239.18,453,962,child,1,C
721,2,female,79,4,1,236.01,454,551,old,1,C
728,1,male,14,3,1,237.0,455,241,child,1,S
727,1,male,50,4,1,236.34,456,137,adult,1,S
612,2,female,28,3,2,234.93,457,344,adult,1,Q
323,2,male,31,1,0,234.88,458,179,adult,1,C
551,1,male,34,0,0,234.78,459,711,adult,0,S
292,1,female,27,0,1,234.59,460,502,adult,1,S
331,1,female,12,4,0,234.07,461,202,child,1,S
203,1,male,67,3,2,233.94,462,572,old,0,Q
611,3,male,49,4,0,231.43,463,191,adult,1,C
437,3,female,25,3,2,231.16,464,4,adult,1,S
697,3,male,8,2,2,231.03,465,889,child,1,C
557,1,male,35,1,0,232.71,466,236,adult,0,S
433,1,male,76,4,2,232.62,467,692,old,0,S
97,1,male,58,0,0,231.69,468,310,old,0,C
508,3,male,19,4,2,229.03,469,548,child,1,C
163,2,female,60,3,0,228.21,470,55,old,1,C
778,1,male,9,2,1,228.71,471,442,child,1,Q
360,1,male,60,4,1,228.67,472,236,old,1,S
592,3,male,77,1,0,226.03,473,869,old,0,Q
648,1,female,18,4,1,227.68,474,860,child,1,C
765,1,male,6,4,0,227.16,475,196,child,1,S
221,1,female,78,4,1,227.12,476,584,old,0,Q
614,3,female,38,2,0,224.98,477,570,adult,0,S
240,3,female,55,3,2,224.23,478,751,old,0,Q
116,2,male,12,3,0,225.13,479,513,child,1,C
269,2,male,31,1,1,224.71,480,448,adult,1,Q
314,2,male,35,1,2,224.62,481,359,adult,1,S
123,2,female,33,1,2,224.49,482,699,adult,1,S
119,3,female,41,1,0,223.17,483,818,adult,1,S
469,1,female,40,3,1,224.24,484,29,adult,1,S
644,1,male,45,2,2,223.92,485,778,adult,1,C
394,1,male,16,0,1,223.17,486,987,child,1,Q
576,1,female,0,0,2,222.45,487,107,child,1,C
377,1,male,26,4,2,221.79,488,843,adult,1,C
103,3,female,30,1,2,217.16,489,934,adult,0,C
411,1,male,10,1,2,219.08,490,601,child,1,S
170,2,male,10,4,2,217.33,491,716,child,1,S
18,2,male,50,2,0,217.18,492,890,adult,1,S
772,1,female,21,2,0,217.47,493,967,adult,0,Q
717,2,female,45,1,2,216.27,494,958,adult,1,S
267,3,female,41,1,0,215.17,495,959,adult,1,Q
403,3,female,63,2,2,215.01,496,444,old,0,S
638,1,male,16,0,0,216.98,497,892,child,1,S
465,3,male,57,3,2,214.89,498,437,old,0,C
598,1,female,28,0,1,216.84,499,731,adult,1,C
681,1,male,75,0,0,216.76,500,889,old,0,C
493,1,male,2,2,0,216.72,501,605,child,1,Q
461,1,female,74,4,1,216.61,502,456,old,0,Q
186,1,female,5,2,0,216.59,503,614,child,1,S
477,1,female,44,4,1,216.45,504,734,adult,1,Q
497,2,female,60,4,2,215.27,505,697,old,1,S
520,3,male,33,2,2,213.38,506,980,adult,0,Q
539,2,female,36,1,1,214.2,507,695,adult,1,Q
43,3,male,72,4,2,212.65,508,494,old,0,Q
668,3,male,74,2,0,212.32,509,673,old,0,C
417,2,male,50,1,1,213.14,510,246,adult,1,Q
424,1,male,79,4,2,213.72,511,542,old,0,C
536,2,female,13,2,2,211.59,512,563,child,1,C
180,1,male,62,0,1,212.19,513,856,old,0,Q
83,2,male,31,3,1,210.68,514,587,adult,0,S
682,2,female,70,3,2,210.46,515,896,old,0,S
126,1,male,12,1,2,209.76,516,438,child,1,S
766,3,male,53,4,0,207.24,517,277,old,0,Q
388,2,male,19,1,0,207.99,518,551,child,1,S
